source,target,weight
wahjoewebee,vidio,1
HardianVita,bhulukhuduktv,1
HardianVita,vidio,1
HardianVita,VidioSports,1
vidio,hellnoyea,1
hellnoyea,vidio,1
pensillicin,vidio,1
Indorowo,vidio,1
Tjel0up,BetaKopites,1
Tjel0up,vidio,1
BetaKopites,vidio,1
vidio,Septiaan_Re,1
Septiaan_Re,BadmintonTalk,1
Septiaan_Re,vidio,1
ayanahawa,BadmintonTalk,1
BadmintonTalk,vidio,1
mnc99_,BadmintonTalk,1
mnc99_,vidio,1
setengahtirek,alfianto_ian,1
tinywiw,BadmintonTalk,1
tinywiw,vidio,1
Ko_Halim,setengahtirek,1
Ko_Halim,BadmintonTalk,1
teakabdul,vidio,1
teakabdul,VidioSports,1
nengdarma,lilily08,1
nengdarma,bhulukhuduktv,1
nengdarma,VidioSports,1
AtikAti90342156,VidioSports,1
Ko_Halim,vidio,1
alfianto_ian,setengahtirek,1
vidio,fr0steeXD,1
rzkyekaputra,vidio,1
vidio,yudistiradit,1
vidio,justdebss,1
barzybar,vidio,1
vidio,AdiiHendra,1
MuhammadRafliB3,vidio,1
AdiiHendra,vidio,1
overcoat_damage,bhulukhuduktv,1
overcoat_damage,vidio,1
overcoat_damage,VidioSports,1
setiyonookejuga,KABAR_CHELSEA,1
sndarsmle,idextratime,1
sndarsmle,vidio,1
vidio,goesdut,1
vidio,mstofa_,1
lilily08,bhulukhuduktv,1
lilily08,VidioSports,1
minikevgidd,vidio,1
merseybois_,serkanst,1
merseybois_,gibbybaris,1
merseybois_,mojiupdates,1
lilily08,herisantiko,1
vidio,Rocky2197,1
merseybois_,vidio,1
kaktuskeren,KABAR_CHELSEA,1
kaktuskeren,vidio,1
vidio,liebeslieid,1
liebeslieid,bhulukhuduktv,1
liebeslieid,VidioSports,1
setiyonookejuga,vidio,1
vidio,lilily08,1
Ririn75305420,Muzammiel_,1
Ririn75305420,fikrira,1
Ririn75305420,vidio,1
hey_Indahh,vidio,1
vidio,fariqrafael_,1
vidio,txtbyurstruly,1
txtbyurstruly,vidio,1
yuditiahdwarman,MNCVision_TV,1
vidio,yaudahiyaa,1
yaudahiyaa,pelitajaya1987,1
vidio,fikrira,1
Muzammiel_,fikrira,1
Muzammiel_,vidio,1
vidio,hamishdw,1
harunal_rasyid_,volleyballidn,1
vidio,naa_bunnyy,1
vidio,barzybar,1
vidio,MuhammadRafliB3,1
vidio,maftuharjuna,1
maftuharjuna,vidio,1
luckyrouxy,vidio,1
jevonparikesit_,bosenprotes,1
vidio,jevonparikesit_,1
vidio,bingkisantuhan,1
SudiraThor,vidio,1
binblancos,vidio,1
vidio,ianSadeli_,1
ianSadeli_,vidio,1
bosenprotes,jevonparikesit_,1
bosenprotes,vidio,1
virtuousrascal,binblancos,1
virtuousrascal,vidio,1
just_anonym883,GrabID,1
just_anonym883,ShopeeID,1
nanadrakidalu,EllenAgustinaV1,1
vidio,singgiihh,1
vidio,morris_jeffri,1
morris_jeffri,vidio,1
morris_jeffri,VidioSports,1
wijatnaka_okky,vidio,1
vidio,uyy225,1
Nomorenoless6,thejurgenholic,1
Nomorenoless6,vidio,1
uyy225,bhulukhuduktv,1
uyy225,vidio,1
mbuIiee,vidio,1
just_anonym883,BNICustomerCare,1
just_anonym883,gojekindonesia,1
SKarna24,thejurgenholic,1
SKarna24,vidio,1
AtikAti90342156,sarister12,1
Rinie_moeet,BadmintonTalk,1
Rinie_moeet,vidio,1
Rannayahh,vidio,1
gamers_bima,thejurgenholic,1
gamers_bima,vidio,1
yuditiahdwarman,RCTIPlus,1
yuditiahdwarman,vidio,1
arisaijaz,visionplusid,1
arisaijaz,RCTIPlus,1
albenft,SCTV,1
albenft,Indosiar,1
albenft,vidio,1
albenft,OfficialRCTI,1
NOTASLIMBOY,vidio,1
vidio,portal_komplex,1
portal_komplex,NOTASLIMBOY,1
portal_komplex,vidio,1
bostoncelctics,vidio,1
AulyaUma,itsmeninaaja,1
AulyaUma,SCTV,1
AulyaUma,vidio,1
vidio,followIndoPr0,1
followIndoPr0,fikrira,1
momonnyamonica,myXL,1
momonnyamonica,vidio,1
vidio,BenjaminBanglor,1
soursallyy12,Nabilataqiyyah_,1
vidio,gypsionary,1
NOTASLIMBOY,portal_komplex,1
vidio,DannyRain1,1
vidio,johnLembong,1
justmeeeeeee6,ael_kelapa,1
justmeeeeeee6,SCTV,1
justmeeeeeee6,vidio,1
tyanoora,ael_kelapa,1
vidio,chairrr_,1
chairrr_,vidio,1
vidio,hey_Indahh,1
hey_Indahh,volleyballidn,1
hey_Indahh,mojiupdates,1
tyanoora,vidio,1
pikhalyopudryk,idextratime,1
pikhalyopudryk,vidio,1
blues_idn,vidio,1
soursallyy12,SCTV,1
NcSyarif,vidio,1
igandasoebrata,visionplusid,1
albenft,Official_MNCTV,1
albenft,visionplusid,1
MrsChan_park,vidio,1
yuditiahdwarman,MNCVisionID,1
yuditiahdwarman,Official_MNCTV,1
puleunyojeong,SCTV,1
Irhamni95,MiamiHEAT,1
NicolaFonsecaa,vidio,1
rizsetiawibawa,VidioSports,1
Dddd1900d,vidio,1
Dddd1900d,visionplusid,1
FransLambut,visionplusid,1
FransLambut,DivHumas_Polri,1
FransLambut,vidio,1
KangAsepr,vidio,1
RichartVolx,YLKI_ID,1
hrjcats,vidio,1
igandasoebrata,vidio,1
vidio,Irhamni95,1
vidio,radityaputra_,1
Irhamni95,vidio,1
Irhamni95,celtics,1
AulyaUma,divyagrn,1
AulyaUma,ael_kelapa,1
AulyaUma,panal_stream,1
AulyaUma,randompanaland,1
vidio,JpuDXtWEFn47102,1
puleunyojeong,ael_kelapa,1
akusetatanpa_n,ahasyari_inet,1
RahmatZubaidi,vidio,1
winnywin20,INABadminton,1
sunnyuna_,Nadyaaja___,1
sunnyuna_,SCTV,1
sunnyuna_,vidio,1
Harymaguire12,bhulukhuduktv,1
Harymaguire12,vidio,1
vidio,RusdyKikiong,1
vidio,_rafi13,1
panjatsosialyuk,vidio,1
panjatsosialyuk,INABadminton,1
vidio,pwettyczeni,1
GianGorga,thejurgenholic,1
GianGorga,FCBarcelona,1
GianGorga,bliblidotcom,1
winnywin20,bhulukhuduktv,1
winnywin20,vidio,1
GianGorga,vidio,1
vidio,helmi__mr,1
3CareIndonesia,triindonesia,1
vidio,andrienja,1
andrienja,Indosiar,1
andrienja,agnezmo,1
Harymaguire12,INABadminton,1
panjatsosialyuk,bhulukhuduktv,1
puleunyojeong,vidio,1
AulyaUma,rizzk_aa,1
andrienja,vidio,1
vidio,Reka_cyril,1
Reka_cyril,IndosatCare,1
Reka_cyril,indosat,1
Reka_cyril,indosatim3,1
Reka_cyril,vidio,1
vidio,sepupu_ozil,1
vidio,riocancerio,1
farhanlontong,SCTV,1
vidio,irfannurhakim,1
indah_syafitri1,vidio,1
indah_syafitri1,SCTV,1
vidio,naminrise,1
vidio,ibungdian,1
IDGoonerscom,vidio,1
vidio,sfbima,1
vidio,Shonywahyu11,1
vidio,diazpradipta,1
bramayudha,WatchmenID,1
bramayudha,vidio,1
vidio,guecantikfixx,1
guecantikfixx,vidio,1
Shonywahyu11,IDGoonerscom,1
Shonywahyu11,vidio,1
vidio,Bangomaan,1
vidio,wndaji_,1
vidio,needtyzyn,1
vidio,wayahnaaaa,1
wayahnaaaa,IDGoonerscom,1
wayahnaaaa,vidio,1
Bangomaan,vidio,1
vidio,yogisblitar,1
wndaji_,vidio,1
RusdyKikiong,dimas_okt,1
RusdyKikiong,vidio,1
vidio,GanisRamadhan14,1
vidio,DepropFH25,1
gaadaapaapa123,Shonywahyu11,1
pjmarbun,idextratime,1
AryaYdha_,dicka_postman,1
AryaYdha_,vidio,1
vidio,bilonk,1
vidio,EvenOfDay23,1
EvenOfDay23,vidio,1
MMIICCKYY,vidio,1
vidio,anaisbleuette,1
vidio,dimas_okt,1
vidio,adlxxxx,1
vidio,4alif,1
4alif,vidio,1
vidio,foiegrasbrioche,1
budsonmeds,vidio,1
budsonmeds,areepysf,1
Mas_Alkaff_,vidio,1
vidio,setia_agung12,1
vidio,vidiosports,1
setia_agung12,vidio,1
ayanahawa,BadmintonLive1,1
vidio,teapmo,1
mingkempin,dimas_okt,1
mingkempin,vidio,1
GanisRamadhan14,dimas_okt,1
duhpusing,vidio,1
duhpusing,persib,1
duhpusing,riphanpradipta,1
duhpusing,ardynshufi,1
duhpusing,simamaung,1
duhpusing,officialvpc,1
farhanlontong,vidio,1
